iter model_time time_step_prev dphi_dt_abs_max time_step_phi
221 6.827674e-01 1.181474e-04 1.314217e+02 1.181474e-04 
222 6.828856e-01 1.181474e-04 1.725171e+02 1.181474e-04 
223 6.830037e-01 1.181474e-04 2.544808e+02 1.181474e-04 
224 6.831219e-01 1.181474e-04 4.863115e+02 1.181474e-04 
225 6.832400e-01 1.181474e-04 2.122871e+03 1.181474e-04 
226 6.833582e-01 1.181474e-04 2.717820e+01 1.181474e-04 
227 6.834763e-01 3.679419e-04 2.826597e+01 3.679419e-04 
228 6.838443e-01 3.537823e-04 3.222224e+01 3.537823e-04 
229 6.841981e-01 3.103447e-04 3.747103e+01 3.103447e-04 
230 6.845084e-01 2.668728e-04 4.408282e+01 2.668728e-04 
231 6.847753e-01 2.268458e-04 5.245737e+01 2.268458e-04 
232 6.850021e-01 1.906310e-04 6.321424e+01 1.906310e-04 
233 6.851928e-01 1.581922e-04 7.726357e+01 1.581922e-04 
234 6.853509e-01 1.294271e-04 9.596058e+01 1.294271e-04 
235 6.854804e-01 1.181474e-04 1.213693e+02 1.181474e-04 
236 6.855985e-01 1.181474e-04 1.623715e+02 1.181474e-04 
237 6.857167e-01 1.181474e-04 2.483534e+02 1.181474e-04 
238 6.858348e-01 1.181474e-04 5.143658e+02 1.181474e-04 
239 6.859530e-01 1.181474e-04 1.887482e+03 1.181474e-04 
240 6.860711e-01 1.181474e-04 4.122975e+00 1.181474e-04 
241 6.861893e-01 2.425433e-03 4.133066e+00 2.425433e-03 
242 6.886147e-01 2.419512e-03 4.348124e+00 2.419512e-03 
243 6.910342e-01 2.299842e-03 4.589755e+00 2.299842e-03 
244 6.933340e-01 2.178765e-03 4.850373e+00 2.178765e-03 
245 6.955128e-01 2.061697e-03 5.131565e+00 2.061697e-03 
246 6.975745e-01 1.948723e-03 5.435725e+00 1.948723e-03 
247 6.995232e-01 1.839681e-03 5.765630e+00 1.839681e-03 
248 7.013629e-01 1.734416e-03 6.124481e+00 1.734416e-03 
249 7.030973e-01 1.632791e-03 6.515974e+00 1.632791e-03 
250 7.047301e-01 1.534690e-03 6.944392e+00 1.534690e-03 
251 7.062648e-01 1.440011e-03 7.414722e+00 1.440011e-03 
252 7.077048e-01 1.348668e-03 7.932791e+00 1.348668e-03 
253 7.090535e-01 1.260590e-03 8.505434e+00 1.260590e-03 
254 7.103141e-01 1.175719e-03 9.140710e+00 1.175719e-03 
255 7.114898e-01 1.094007e-03 9.848165e+00 1.094007e-03 
256 7.125838e-01 1.015418e-03 1.063916e+01 1.015418e-03 
257 7.135992e-01 9.399239e-04 1.152729e+01 9.399239e-04 
258 7.145391e-01 8.675067e-04 1.252893e+01 8.675067e-04 
259 7.154066e-01 7.981527e-04 1.366386e+01 7.981527e-04 
260 7.162048e-01 7.318576e-04 1.495623e+01 7.318576e-04 
261 7.169367e-01 6.686177e-04 1.643560e+01 6.686177e-04 
262 7.176053e-01 6.084354e-04 1.813859e+01 6.084354e-04 
263 7.182137e-01 5.513109e-04 2.011071e+01 5.513109e-04 
264 7.187650e-01 4.972475e-04 2.240907e+01 4.972475e-04 
265 7.192623e-01 4.462478e-04 2.510605e+01 4.462478e-04 
266 7.197085e-01 3.983103e-04 2.829411e+01 3.983103e-04 
267 7.201068e-01 3.534305e-04 3.209277e+01 3.534305e-04 
268 7.204603e-01 3.115967e-04 3.665802e+01 3.115967e-04 
269 7.207719e-01 2.727916e-04 4.219621e+01 2.727916e-04 
270 7.210446e-01 2.369881e-04 4.898354e+01 2.369881e-04 
271 7.212816e-01 2.041502e-04 5.739536e+01 2.041502e-04 
272 7.214858e-01 1.742301e-04 6.794955e+01 1.742301e-04 
273 7.216600e-01 1.471680e-04 8.137312e+01 1.471680e-04 
274 7.218072e-01 1.228907e-04 9.870598e+01 1.228907e-04 
275 7.219301e-01 1.181474e-04 1.214661e+02 1.181474e-04 
276 7.220482e-01 1.181474e-04 1.578859e+02 1.181474e-04 
277 7.221664e-01 1.181474e-04 2.287133e+02 1.181474e-04 
278 7.222845e-01 1.181474e-04 4.177645e+02 1.181474e-04 
279 7.224027e-01 1.181474e-04 1.495992e+03 1.181474e-04 
280 7.225208e-01 1.181474e-04 7.104212e+00 1.181474e-04 
281 7.226390e-01 1.407616e-03 7.133904e+00 1.407616e-03 
282 7.240466e-01 1.401757e-03 7.500306e+00 1.401757e-03 
283 7.254483e-01 1.333279e-03 7.908409e+00 1.333279e-03 
284 7.267816e-01 1.264477e-03 8.345281e+00 1.264477e-03 
285 7.280461e-01 1.198282e-03 8.812889e+00 1.198282e-03 
286 7.292444e-01 1.134702e-03 9.314339e+00 1.134702e-03 
287 7.303791e-01 1.073613e-03 9.853165e+00 1.073613e-03 
288 7.314527e-01 1.014902e-03 1.043335e+01 1.014902e-03 
289 7.324676e-01 9.584652e-04 1.105937e+01 9.584652e-04 
