iter model_time time_step_prev dphi_dt_abs_max time_step_phi phi_integral
145 1.450000e-08 1.000000e-10 3.717530e+04 2.690985e-08 4.487353e-15
146 1.460000e-08 1.000000e-10 3.718949e+04 2.689958e-08 4.487351e-15
147 1.470000e-08 1.000000e-10 3.720369e+04 2.688931e-08 4.487349e-15
148 1.480000e-08 1.000000e-10 3.721790e+04 2.687905e-08 4.487347e-15
149 1.490000e-08 1.000000e-10 3.723211e+04 2.686879e-08 4.487345e-15
150 1.500000e-08 1.000000e-10 3.724633e+04 2.685854e-08 4.487343e-15
151 1.510000e-08 1.000000e-10 3.726055e+04 2.684829e-08 4.487341e-15
152 1.520000e-08 1.000000e-10 3.727477e+04 2.683804e-08 4.487339e-15
153 1.530000e-08 1.000000e-10 3.728901e+04 2.682780e-08 4.487337e-15
154 1.540000e-08 1.000000e-10 3.730324e+04 2.681756e-08 4.487335e-15
155 1.550000e-08 1.000000e-10 3.731748e+04 2.680732e-08 4.487333e-15
156 1.560000e-08 1.000000e-10 3.733173e+04 2.679709e-08 4.487331e-15
157 1.570000e-08 1.000000e-10 3.734598e+04 2.678686e-08 4.487329e-15
158 1.580000e-08 1.000000e-10 3.736024e+04 2.677664e-08 4.487327e-15
159 1.590000e-08 1.000000e-10 3.737451e+04 2.676642e-08 4.487325e-15
160 1.600000e-08 1.000000e-10 3.738877e+04 2.675621e-08 4.487323e-15
161 1.610000e-08 1.000000e-10 3.740305e+04 2.674600e-08 4.487321e-15
162 1.620000e-08 1.000000e-10 3.741733e+04 2.673579e-08 4.487319e-15
163 1.630000e-08 1.000000e-10 3.743161e+04 2.672559e-08 4.487317e-15
164 1.640000e-08 1.000000e-10 3.744590e+04 2.671539e-08 4.487315e-15
165 1.650000e-08 1.000000e-10 3.746020e+04 2.670519e-08 4.487313e-15
166 1.660000e-08 1.000000e-10 3.747450e+04 2.669500e-08 4.487311e-15
167 1.670000e-08 1.000000e-10 3.748880e+04 2.668482e-08 4.487309e-15
168 1.680000e-08 1.000000e-10 3.750311e+04 2.667463e-08 4.487307e-15
169 1.690000e-08 1.000000e-10 3.751743e+04 2.666445e-08 4.487305e-15
170 1.700000e-08 1.000000e-10 3.753175e+04 2.665428e-08 4.487303e-15
171 1.710000e-08 1.000000e-10 3.754607e+04 2.664411e-08 4.487301e-15
