iter model_time time_step_prev dphi_dt_abs_max time_step_phi phi_integral
190 8.459164e-07 1.390245e-09 7.238995e+05 1.390245e-09 4.352320e-15
191 8.472978e-07 1.381407e-09 7.285213e+05 1.381407e-09 4.351535e-15
192 8.486705e-07 1.372643e-09 7.331635e+05 1.372643e-09 4.350752e-15
193 8.500344e-07 1.363952e-09 7.378263e+05 1.363952e-09 4.349969e-15
194 8.513898e-07 1.355333e-09 7.425098e+05 1.355333e-09 4.349187e-15
195 8.527365e-07 1.346784e-09 7.472143e+05 1.346784e-09 4.348406e-15
196 8.540748e-07 1.338304e-09 7.519400e+05 1.338304e-09 4.347626e-15
197 8.554047e-07 1.329893e-09 7.566870e+05 1.329893e-09 4.346846e-15
198 8.567263e-07 1.321550e-09 7.614557e+05 1.321550e-09 4.346068e-15
199 8.580396e-07 1.313274e-09 7.662461e+05 1.313274e-09 4.345290e-15
200 8.593446e-07 1.305064e-09 7.710584e+05 1.305064e-09 4.344513e-15
201 8.606415e-07 1.296919e-09 7.758930e+05 1.296919e-09 4.343737e-15
202 8.619304e-07 1.288837e-09 7.807500e+05 1.288837e-09 4.342962e-15
203 8.632112e-07 1.280820e-09 7.856296e+05 1.280820e-09 4.342188e-15
204 8.644841e-07 1.272865e-09 7.905320e+05 1.272865e-09 4.341415e-15
205 8.657490e-07 1.264971e-09 7.954574e+05 1.264971e-09 4.340643e-15
206 8.670062e-07 1.257138e-09 8.004061e+05 1.257138e-09 4.339872e-15
207 8.682555e-07 1.249366e-09 8.053782e+05 1.249366e-09 4.339102e-15
208 8.694972e-07 1.241653e-09 8.103740e+05 1.241653e-09 4.338333e-15
209 8.707312e-07 1.233998e-09 8.153937e+05 1.233998e-09 4.337566e-15
210 8.719576e-07 1.226401e-09 8.204376e+05 1.226401e-09 4.336799e-15
211 8.731764e-07 1.218862e-09 8.255057e+05 1.218862e-09 4.336033e-15
212 8.743878e-07 1.211379e-09 8.305984e+05 1.211379e-09 4.335268e-15
213 8.755918e-07 1.203951e-09 8.357159e+05 1.203951e-09 4.334505e-15
214 8.767884e-07 1.196579e-09 8.408584e+05 1.196579e-09 4.333742e-15
215 8.779776e-07 1.189261e-09 8.460261e+05 1.189261e-09 4.332981e-15
216 8.791596e-07 1.181997e-09 8.512193e+05 1.181997e-09 4.332221e-15
217 8.803344e-07 1.174785e-09 8.564381e+05 1.174785e-09 4.331462e-15
218 8.815020e-07 1.167627e-09 8.616829e+05 1.167627e-09 4.330704e-15
219 8.826625e-07 1.160520e-09 8.669538e+05 1.160520e-09 4.329947e-15
220 8.838160e-07 1.153464e-09 8.722510e+05 1.153464e-09 4.329192e-15
221 8.849625e-07 1.146459e-09 8.775749e+05 1.146459e-09 4.328438e-15
222 8.861020e-07 1.139504e-09 8.829257e+05 1.139504e-09 4.327685e-15
223 8.872346e-07 1.132598e-09 8.883035e+05 1.132598e-09 4.326933e-15
224 8.883603e-07 1.125741e-09 8.937086e+05 1.125741e-09 4.326183e-15
225 8.894792e-07 1.118933e-09 8.991413e+05 1.118933e-09 4.325434e-15
226 8.905914e-07 1.112172e-09 9.046018e+05 1.112172e-09 4.324686e-15
227 8.916969e-07 1.105459e-09 9.100903e+05 1.105459e-09 4.323939e-15
228 8.927957e-07 1.098792e-09 9.156072e+05 1.098792e-09 4.323194e-15
229 8.938878e-07 1.092171e-09 9.211526e+05 1.092171e-09 4.322450e-15
230 8.949734e-07 1.085596e-09 9.267268e+05 1.085596e-09 4.321707e-15
231 8.960525e-07 1.079067e-09 9.323300e+05 1.079067e-09 4.320966e-15
232 8.971251e-07 1.072582e-09 9.379625e+05 1.072582e-09 4.320226e-15
233 8.981912e-07 1.066141e-09 9.436246e+05 1.066141e-09 4.319488e-15
234 8.992510e-07 1.059743e-09 9.493165e+05 1.059743e-09 4.318751e-15
235 9.000000e-07 7.490302e-10 9.550385e+05 1.053389e-09 4.318015e-15
236 9.010471e-07 1.047078e-09 9.591256e+05 1.047078e-09 4.317493e-15
237 9.020897e-07 1.042616e-09 9.648895e+05 1.042616e-09 4.316761e-15
238 9.031261e-07 1.036388e-09 9.706942e+05 1.036388e-09 4.316029e-15
239 9.041563e-07 1.030191e-09 9.765300e+05 1.030191e-09 4.315299e-15
240 9.051803e-07 1.024034e-09 9.823971e+05 1.024034e-09 4.314570e-15
241 9.061982e-07 1.017918e-09 9.882958e+05 1.017918e-09 4.313843e-15
242 9.072101e-07 1.011843e-09 9.942263e+05 1.011843e-09 4.313117e-15
243 9.082159e-07 1.005807e-09 1.000189e+06 1.005807e-09 4.312392e-15
244 9.092157e-07 9.998111e-10 1.006184e+06 9.998111e-10 4.311670e-15
245 9.102095e-07 9.938540e-10 1.012212e+06 9.938540e-10 4.310948e-15
246 9.111975e-07 9.879356e-10 1.018272e+06 9.879356e-10 4.310228e-15
247 9.121795e-07 9.820555e-10 1.024366e+06 9.820555e-10 4.309510e-15
248 9.131557e-07 9.762133e-10 1.030494e+06 9.762133e-10 4.308793e-15
249 9.141262e-07 9.704086e-10 1.036655e+06 9.704086e-10 4.308078e-15
250 9.150908e-07 9.646410e-10 1.042850e+06 9.646410e-10 4.307364e-15
251 9.160497e-07 9.589103e-10 1.049080e+06 9.589103e-10 4.306652e-15
252 9.170029e-07 9.532160e-10 1.055345e+06 9.532160e-10 4.305942e-15
253 9.179505e-07 9.475578e-10 1.061644e+06 9.475578e-10 4.305233e-15
254 9.188924e-07 9.419353e-10 1.067979e+06 9.419353e-10 4.304526e-15
255 9.198288e-07 9.363483e-10 1.074349e+06 9.363483e-10 4.303820e-15
256 9.207596e-07 9.307962e-10 1.080755e+06 9.307962e-10 4.303116e-15
257 9.216848e-07 9.252790e-10 1.087197e+06 9.252790e-10 4.302414e-15
258 9.226046e-07 9.197961e-10 1.093676e+06 9.197961e-10 4.301713e-15
259 9.235190e-07 9.143473e-10 1.100192e+06 9.143473e-10 4.301014e-15
260 9.244279e-07 9.089323e-10 1.106745e+06 9.089323e-10 4.300317e-15
261 9.253315e-07 9.035508e-10 1.113335e+06 9.035508e-10 4.299622e-15
262 9.262297e-07 8.982024e-10 1.119963e+06 8.982024e-10 4.298928e-15
263 9.271226e-07 8.928868e-10 1.126629e+06 8.928868e-10 4.298235e-15
264 9.280102e-07 8.876039e-10 1.133333e+06 8.876039e-10 4.297545e-15
265 9.288925e-07 8.823531e-10 1.140076e+06 8.823531e-10 4.296856e-15
266 9.297696e-07 8.771344e-10 1.146858e+06 8.771344e-10 4.296169e-15
267 9.306416e-07 8.719473e-10 1.153680e+06 8.719473e-10 4.295484e-15
